,CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Region,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Avg_Utilization_Ratio
161,714133158,Existing Customer,59,F,1,College,Single,Unknown,Blue,England,36,2,3,3,4224.0,1305,2919.0,1152.0,31,0.309
162,713187033,Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue,England,36,3,2,2,20459.0,2071,18388.0,1767.0,38,0.101
163,714791208,Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue,Scotland,41,6,5,3,3482.0,2114,1368.0,1039.0,24,0.607
164,772426383,Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue,Scotland,40,5,2,3,3065.0,1570,1495.0,1130.0,28,0.512
165,710975883,Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue,Scotland,43,3,1,2,2185.0,1761,424.0,1645.0,30,0.806
166,714264408,Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue,Wales,36,4,1,0,1611.0,746,865.0,1413.0,29,0.463
167,715827858,Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue,Wales,47,3,3,3,2822.0,2173,649.0,1218.0,23,0.77
168,713741358,Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue,England,33,6,3,3,23720.799999999996,2517,21964.6,597.0,17,0.076
169,709531908,Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue,England,47,5,2,2,1438.3,0,1438.3,2184.0,53,0.0
170,716493408,Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue,England,36,4,3,3,15875.0,1719,14156.0,1592.0,37,0.108
171,714141108,Existing Customer,52,F,1,High School,Married,Less than $40K,Blue,England,45,6,3,3,6703.0,893,5810.0,1388.0,28,0.133
172,708953883,Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue,England,36,2,2,1,3212.0,0,3212.0,757.0,20,0.0
173,712608783,Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver,England,45,3,1,3,23720.799999999996,1260,21964.6,1504.0,34,0.037
174,820353558,Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue,England,36,4,1,2,9797.0,1434,8363.0,1503.0,34,0.146
175,714964758,Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue,England,36,5,2,2,10400.0,1777,8623.0,1105.0,28,0.171
176,716264358,Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue,England,42,2,1,2,23720.799999999996,1836,21964.6,2398.0,47,0.069
177,717296808,Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue,England,36,4,3,2,3006.0,2517,489.0,1661.0,32,0.837
178,712977183,Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver,England,36,6,3,0,19482.0,1072,18410.0,1421.0,22,0.055
179,710829108,Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue,Northern Ireland,36,4,2,3,3356.0,985,2371.0,999.0,28,0.294
180,779562633,Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue,England,34,3,2,1,5771.0,2248,3523.0,1387.0,18,0.39
181,715315833,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,England,36,6,2,3,11106.0,2107,8999.0,1243.0,24,0.19
182,815500983,Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue,England,36,5,3,0,2890.0,2001,889.0,1860.0,36,0.692
183,719360583,Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue,England,45,6,2,2,3380.0,1701,1679.0,1502.0,25,0.503
184,709701558,Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,England,36,2,1,2,21331.0,1251,20080.0,1460.0,50,0.059
185,721148358,Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue,Scotland,38,6,2,1,12860.0,0,12860.0,1348.0,27,0.0
